"","100","rd"
"0.02","-0.12473157037037","0.02"
"0.04","-0.140647607407407","0.04"
"0.06","-0.150355474074074","0.06"
"0.08","-0.159044088888889","0.08"
"0.1","-0.166962266666667","0.1"
"0.12","-0.176719918518519","0.12"
"0.14","-0.180955074074074","0.14"
"0.16","-0.183235422222222","0.16"
"0.18","-0.192478562962963","0.18"
"0.2","-0.193694407407407","0.2"
"0.22","-0.202788444444444","0.22"
"0.24","-0.207078755555556","0.24"
"0.26","-0.214812444444444","0.26"
"0.28","-0.215120785185185","0.28"
"0.3","-0.217986659259259","0.3"
"0.32","-0.220618725925926","0.32"
"0.34","-0.22192082962963","0.34"
"0.36","-0.236923511111111","0.36"
"0.38","-0.233234207407407","0.38"
"0.4","-0.230039185185185","0.4"
"0.42","-0.233387125925926","0.42"
"0.44","-0.243969044444444","0.44"
"0.46","-0.241625711111111","0.46"
"0.48","-0.246369385185185","0.48"
