rd,OSR.2,OSR.1,OSR.05
0,0.3333,0.332,0.326
0.02,0.3325,0.33,0.322
0.04,0.3305,0.329,0.32
0.06,0.3269,0.324,0.313
0.08,0.3222,0.321,0.294
0.1,0.3166,0.314,0.271
0.12,0.3103,0.307,0.245
0.14,0.3025,0.292,0.22
0.16,0.2961,0.282,0.191
0.18,0.2901,0.28,0.17
0.2,0.2855,0.268,0.157
0.22,0.2795,0.261,0.149
0.24,0.2761,0.249,0.139
0.26,0.2712,0.243,0.129
0.28,0.2687,0.23,0.124
0.3,0.2636,0.229,0.125
0.32,0.2622,0.225,0.118
0.34,0.2599,0.22,0.121
0.36,0.2586,0.221,0.113
0.38,0.256,0.219,0.116
0.4,0.2553,0.214,0.123
0.42,0.2537,0.2171,0.128
0.44,0.2534,0.207,0.135
0.46,0.2523,0.216,0.133
0.48,0.2501,0.212,0.151
